Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
Crysis 2,PC,2011.0,Action,Electronic Arts,0.16,0.45,0.0,0.13,0.74,86.0,42.0,6.8,1594.0,M
Tales of Vesperia,X360,2008.0,Role-Playing,Atari,0.32,0.17,0.19,0.05,0.74,79.0,67.0,8.2,264.0,T
MLB 13: The Show,PS3,2013.0,Sports,Sony Computer Entertainment,0.67,0.0,0.0,0.07,0.74,87.0,36.0,7.8,114.0,E
LEGO Marvel Super Heroes,WiiU,2013.0,Action,Warner Bros. Interactive Entertainment,0.31,0.35,0.02,0.06,0.74,82.0,8.0,8.0,71.0,E10+
Namco Museum Remix,Wii,2007.0,Misc,Atari,0.68,0.0,0.0,0.05,0.74,49.0,18.0,6.3,4.0,E
NBA 2K16,PS3,2015.0,Sports,Take-Two Interactive,0.45,0.12,0.03,0.13,0.74,69.5,0.0,4.6,13.0,E
Sword of Mana,GBA,2003.0,Role-Playing,Nintendo,0.31,0.11,0.3,0.02,0.74,72.0,31.0,8.3,25.0,E
FIFA 17,PS3,2016.0,Sports,Electronic Arts,0.05,0.55,0.03,0.1,0.73,69.5,0.0,3.3,21.0,E
Marvel: Ultimate Alliance 2,PS3,2009.0,Role-Playing,Activision,0.49,0.15,0.0,0.09,0.73,74.0,48.0,7.3,51.0,T
Dragon Age: Inquisition,PC,2014.0,Role-Playing,Electronic Arts,0.33,0.34,0.0,0.06,0.73,85.0,45.0,5.9,3926.0,M
Resonance of Fate,PS3,2010.0,Role-Playing,Sega,0.2,0.21,0.24,0.08,0.73,72.0,42.0,8.0,136.0,T
Madagascar: Escape 2 Africa,DS,2008.0,Action,Activision,0.41,0.25,0.0,0.07,0.73,55.0,6.0,7.25,0.0,E
Pirates of the Caribbean: At World's End,PS3,2007.0,Action,Disney Interactive Studios,0.17,0.41,0.0,0.15,0.73,55.0,24.0,6.9,19.0,T
FIFA: Road to World Cup 98,PS,1997.0,Sports,Electronic Arts,0.14,0.09,0.46,0.05,0.73,0.0,0.0,0.0,0.0,NR
The Amazing Spider-Man (Console Version),X360,2012.0,Action,Activision,0.43,0.24,0.0,0.06,0.73,69.5,0.0,7.25,0.0,NR
Dragon Ball Z: Ultime Menace,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,0.73,0.0,0.73,0.0,0.0,0.0,0.0,NR
The Walking Dead: Season One,X360,2012.0,Adventure,Avanquest Software,0.55,0.13,0.0,0.05,0.73,69.5,0.0,7.25,0.0,NR
Tiger Woods PGA Tour 08,PS3,2007.0,Sports,Electronic Arts,0.22,0.37,0.0,0.14,0.73,79.0,30.0,6.6,7.0,E
Classic NES Series: Donkey Kong,GBA,2004.0,Platform,Nintendo,0.4,0.15,0.17,0.01,0.73,55.0,15.0,4.8,4.0,E
Harvest Moon: Animal Parade,Wii,2008.0,Simulation,Rising Star Games,0.58,0.08,0.02,0.05,0.73,76.0,10.0,8.9,20.0,E
Split/Second,PS3,2010.0,Racing,Disney Interactive Studios,0.31,0.3,0.01,0.11,0.73,69.5,0.0,7.25,0.0,NR
Yoshi,GB,1991.0,Puzzle,Nintendo,0.0,0.0,0.73,0.0,0.73,0.0,0.0,0.0,0.0,NR
Mortal Kombat 4,N64,1998.0,Fighting,GT Interactive,0.55,0.17,0.0,0.01,0.73,0.0,0.0,0.0,0.0,NR
WWE SmackDown vs. Raw 2010,Wii,2009.0,Fighting,THQ,0.49,0.17,0.0,0.06,0.73,78.0,11.0,7.7,9.0,T
Style Savvy: Trendsetters,3DS,2012.0,Simulation,Nintendo,0.16,0.02,0.53,0.01,0.73,76.0,5.0,8.0,15.0,E
Croc 2,PS,1999.0,Platform,Fox Interactive,0.41,0.28,0.0,0.05,0.73,0.0,0.0,0.0,0.0,NR
Final Fantasy XIII-2,X360,2011.0,Role-Playing,Square Enix,0.36,0.29,0.02,0.06,0.73,79.0,50.0,6.3,268.0,T
Practise English!,DS,2007.0,Misc,Nintendo,0.0,0.0,0.73,0.0,0.73,69.5,0.0,7.25,0.0,NR
Oddworld: Munch's Oddysee,XB,2001.0,Platform,Atari,0.54,0.16,0.0,0.03,0.73,80.0,30.0,8.7,32.0,T
Persona 4: Arena,PS3,2012.0,Fighting,Atlus,0.3,0.11,0.24,0.07,0.73,86.0,47.0,7.7,180.0,T
Berzerk,2600,1981.0,Shooter,Atari,0.68,0.04,0.0,0.01,0.73,0.0,0.0,0.0,0.0,NR
Brink,PS3,2011.0,Shooter,Bethesda Softworks,0.29,0.32,0.01,0.12,0.73,72.0,39.0,5.8,168.0,T
NHL 11,X360,2010.0,Sports,Electronic Arts,0.61,0.07,0.0,0.05,0.73,88.0,49.0,7.7,71.0,E10+
NCAA Football 07,X360,2006.0,Sports,Electronic Arts,0.67,0.0,0.0,0.06,0.73,79.0,43.0,6.9,20.0,E
Just Dance Wii,Wii,2011.0,Misc,Nintendo,0.0,0.0,0.73,0.0,0.73,69.5,0.0,7.25,0.0,NR
Full Spectrum Warrior,XB,2004.0,Strategy,THQ,0.54,0.16,0.0,0.03,0.73,84.0,67.0,8.7,27.0,M
LEGO Marvel's Avengers,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.26,0.35,0.0,0.12,0.73,71.0,70.0,7.0,87.0,E10+
Katamari Damacy,PS2,2004.0,Puzzle,Namco Bandai Games,0.47,0.02,0.17,0.08,0.73,86.0,55.0,9.0,86.0,E
Just Dance 2015,WiiU,2014.0,Misc,Ubisoft,0.38,0.29,0.0,0.06,0.73,75.0,6.0,6.6,26.0,E10+
Beyblade VForce: Ultimate Blader Jam,GBA,2003.0,Action,Atari,0.52,0.19,0.0,0.01,0.73,69.5,0.0,7.25,0.0,E
LEGO Dimensions,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.24,0.37,0.0,0.12,0.73,80.0,53.0,7.1,65.0,E10+
Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012.0,Fighting,Namco Bandai Games,0.27,0.24,0.14,0.08,0.73,74.0,23.0,7.1,83.0,T
Shaun Palmer's Pro Snowboarder,PS2,2001.0,Sports,Codemasters,0.36,0.28,0.0,0.09,0.73,64.0,17.0,8.7,13.0,E
James Bond 007: Agent Under Fire,GC,2002.0,Shooter,Electronic Arts,0.56,0.15,0.0,0.02,0.72,74.0,16.0,6.8,25.0,T
Harvest Moon DS: Island of Happiness,DS,2007.0,Simulation,Rising Star Games,0.43,0.01,0.25,0.04,0.72,65.0,15.0,7.0,22.0,E
Star Wars Episode III: Revenge of the Sith,GBA,2005.0,Action,Ubisoft,0.52,0.19,0.0,0.01,0.72,73.0,13.0,7.5,12.0,E10+
Ultimate Spider-Man,PS2,2005.0,Action,Activision,0.6,0.02,0.0,0.1,0.72,74.0,52.0,7.9,54.0,T
Monopoly Streets,Wii,2010.0,Misc,Electronic Arts,0.23,0.42,0.0,0.08,0.72,65.0,9.0,5.2,5.0,E
Imagine: Interior Designer,DS,2008.0,Simulation,Ubisoft,0.34,0.31,0.0,0.08,0.72,69.5,0.0,7.25,0.0,E
Ratchet & Clank Collection,PS3,2012.0,Action,Sony Computer Entertainment,0.47,0.13,0.02,0.1,0.72,69.5,0.0,7.25,0.0,NR
SD Gundam G Generation,PS,1998.0,Strategy,Namco Bandai Games,0.0,0.0,0.67,0.05,0.72,0.0,0.0,0.0,0.0,NR
Rabbids Go Home,DS,2009.0,Platform,Ubisoft,0.35,0.3,0.0,0.07,0.72,70.0,7.0,7.25,0.0,E
God Eater,PSP,2010.0,Action,Unknown,0.0,0.0,0.72,0.0,0.72,69.5,0.0,7.25,0.0,NR
Area 51,PS,1996.0,Shooter,GT Interactive,0.4,0.27,0.0,0.05,0.72,0.0,0.0,0.0,0.0,NR
Total War: Rome II,PC,2013.0,Strategy,Sega,0.12,0.53,0.0,0.07,0.72,76.0,71.0,4.2,3742.0,T
NBA Live 08,PS2,2007.0,Sports,Electronic Arts,0.59,0.02,0.01,0.1,0.72,68.0,10.0,6.6,9.0,E
Star Ocean: The Last Hope International,PS3,2010.0,Role-Playing,Square Enix,0.28,0.15,0.22,0.07,0.72,74.0,45.0,6.7,155.0,T
Dead to Rights,XB,2002.0,Shooter,Electronic Arts,0.53,0.17,0.0,0.03,0.72,73.0,39.0,8.9,16.0,M
Indiana Jones and the Staff of Kings,Wii,2009.0,Action,Activision,0.36,0.29,0.0,0.07,0.72,55.0,32.0,7.0,28.0,T
Tiger Woods PGA Tour 07,PS2,2006.0,Sports,Electronic Arts,0.6,0.02,0.0,0.1,0.72,79.0,33.0,6.0,8.0,E
My Little Pony: Pinkie Pie's Party,DS,2008.0,Adventure,THQ,0.66,0.0,0.0,0.06,0.72,69.5,0.0,0.0,4.0,E
Test Drive 6,PS,1999.0,Racing,Atari,0.4,0.27,0.0,0.05,0.72,0.0,0.0,0.0,0.0,NR
Major League Baseball 2K7,X360,2007.0,Sports,Spike,0.67,0.0,0.0,0.06,0.72,79.0,31.0,7.1,34.0,E
Kouchuu Ouja Mushi King,GBA,2005.0,Action,Sega,0.0,0.0,0.7,0.02,0.72,69.5,0.0,7.25,0.0,NR
Persona Q: Shadow of the Labyrinth,3DS,2014.0,Role-Playing,Nippon Ichi Software,0.34,0.07,0.27,0.04,0.72,83.0,56.0,8.1,169.0,M
MLB 14: The Show,PS4,2014.0,Sports,Sony Computer Entertainment America,0.58,0.0,0.0,0.14,0.72,83.0,17.0,7.7,205.0,E
X-Men: Mutant Academy 2,PS,2001.0,Fighting,Activision,0.4,0.27,0.0,0.05,0.72,72.0,12.0,8.4,18.0,T
Kirby: Canvas Curse,DS,2005.0,Platform,Nintendo,0.36,0.0,0.32,0.03,0.72,86.0,48.0,8.2,87.0,E
Jampack Winter 2001,PS2,2001.0,Misc,Sony Computer Entertainment,0.35,0.28,0.0,0.09,0.72,69.5,0.0,7.25,0.0,NR
Kangaroo,2600,1982.0,Platform,Atari,0.67,0.04,0.0,0.01,0.72,0.0,0.0,0.0,0.0,NR
Madden NFL 10,Wii,2009.0,Sports,Electronic Arts,0.62,0.04,0.0,0.06,0.72,77.0,23.0,7.2,24.0,E
MLB 09: The Show,PS3,2009.0,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.06,0.72,90.0,27.0,8.1,61.0,E
Borderlands: The Pre-Sequel,X360,2014.0,Shooter,Take-Two Interactive,0.46,0.19,0.01,0.07,0.72,74.0,16.0,6.4,161.0,M
Disney Infinity 3.0,PS4,2015.0,Action,Disney Interactive Studios,0.24,0.37,0.0,0.12,0.72,69.5,0.0,7.25,0.0,NR
Super Monkey Ball Jr.,GBA,2002.0,Puzzle,Atari,0.51,0.19,0.0,0.01,0.72,82.0,20.0,8.6,11.0,E
The Witcher 3: Wild Hunt,PC,2015.0,Role-Playing,Namco Bandai Games,0.21,0.46,0.0,0.05,0.72,93.0,32.0,9.3,10665.0,M
F1 2011,X360,2011.0,Racing,Codemasters,0.11,0.5,0.01,0.09,0.72,84.0,61.0,7.1,54.0,E
Mobile Suit Gundam: Encounters in Space,PS2,2003.0,Simulation,Namco Bandai Games,0.05,0.04,0.61,0.01,0.72,66.0,10.0,8.5,37.0,T
MLB 10: The Show,PS3,2010.0,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.06,0.72,91.0,33.0,8.3,107.0,E
MX vs. ATV Reflex,X360,2009.0,Racing,THQ,0.52,0.14,0.0,0.06,0.72,75.0,47.0,6.6,30.0,E
Blur,PS3,2010.0,Racing,Activision,0.22,0.36,0.02,0.12,0.72,81.0,58.0,8.2,86.0,E10+
Avatar: The Game,Wii,2009.0,Action,Ubisoft,0.32,0.32,0.0,0.07,0.72,69.5,0.0,7.25,0.0,NR
Fear Effect,PS,1998.0,Action,Eidos Interactive,0.4,0.27,0.0,0.05,0.72,0.0,0.0,0.0,0.0,NR
Battlefield: Bad Company 2,PC,2010.0,Shooter,Electronic Arts,0.19,0.53,0.0,0.0,0.72,87.0,46.0,8.3,1467.0,M
DiRT 3,X360,2011.0,Racing,Codemasters,0.23,0.4,0.01,0.08,0.72,87.0,81.0,7.1,166.0,T
The Lord of the Rings: The Two Towers,XB,2002.0,Action,Electronic Arts,0.45,0.24,0.0,0.03,0.71,79.0,17.0,8.1,18.0,T
Madden NFL 2003,XB,2002.0,Sports,Electronic Arts,0.67,0.02,0.0,0.03,0.71,92.0,16.0,8.3,16.0,E
Skate,X360,2007.0,Sports,Electronic Arts,0.62,0.03,0.0,0.06,0.71,86.0,59.0,8.4,137.0,T
iCarly,DS,2009.0,Adventure,Activision,0.66,0.01,0.0,0.05,0.71,69.5,0.0,8.3,6.0,E
XCOM: Enemy Unknown,PC,2012.0,Strategy,Take-Two Interactive,0.27,0.36,0.0,0.08,0.71,89.0,57.0,8.2,2235.0,M
Ben 10: Protector of Earth,PSP,2007.0,Action,D3Publisher,0.23,0.3,0.0,0.18,0.71,60.0,4.0,7.2,23.0,E10+
Virtua Fighter 4: Evolution,PS2,2003.0,Fighting,Sega,0.35,0.27,0.0,0.09,0.71,93.0,30.0,9.0,48.0,T
Crysis,PC,2007.0,Shooter,Electronic Arts,0.0,0.69,0.0,0.02,0.71,91.0,56.0,8.0,1970.0,M
Resident Evil: Survivor,PS,2000.0,Action,Eidos Interactive,0.23,0.15,0.29,0.05,0.71,39.0,10.0,7.0,47.0,M
The Sims 2: Castaway,DS,2007.0,Simulation,Electronic Arts,0.62,0.04,0.0,0.06,0.71,66.0,8.0,4.0,5.0,E
Super Trucks Racing,PS2,2002.0,Racing,Jester Interactive,0.35,0.27,0.0,0.09,0.71,66.0,8.0,7.25,0.0,E
Godzilla: Destroy All Monsters Melee,GC,2002.0,Fighting,Atari,0.55,0.14,0.0,0.02,0.71,73.0,30.0,7.8,23.0,T
Jeremy McGrath Supercross 2000,PS,2000.0,Racing,Acclaim Entertainment,0.4,0.27,0.0,0.05,0.71,43.0,11.0,7.25,0.0,E
Conker: Live And Reloaded,XB,2005.0,Adventure,Microsoft Game Studios,0.49,0.2,0.0,0.02,0.71,69.5,0.0,7.25,0.0,NR
Silent Hill 3,PS2,2003.0,Action,Konami Digital Entertainment,0.35,0.27,0.0,0.09,0.71,85.0,41.0,8.8,315.0,M
Yu-Gi-Oh! The Falsebound Kingdom,GC,2002.0,Strategy,Konami Digital Entertainment,0.49,0.13,0.07,0.02,0.71,69.5,0.0,7.25,0.0,NR
Spyro: Enter the Dragonfly,GC,2002.0,Platform,Universal Interactive,0.55,0.14,0.0,0.02,0.71,48.0,13.0,5.1,24.0,E
Scooby-Doo 2: Monsters Unleashed,GBA,2004.0,Action,THQ,0.51,0.19,0.0,0.01,0.71,46.0,5.0,7.25,0.0,E
Power Rangers: Dino Thunder,PS2,2004.0,Action,THQ,0.35,0.27,0.0,0.09,0.71,49.0,6.0,6.2,5.0,E
Madden NFL 08,PSP,2007.0,Sports,Electronic Arts,0.6,0.04,0.0,0.07,0.71,75.0,10.0,6.8,8.0,E
Blast Corps,N64,1997.0,Action,Nintendo,0.39,0.09,0.17,0.06,0.71,0.0,0.0,0.0,0.0,NR
LEGO Racers,N64,1999.0,Racing,LEGO Media,0.51,0.18,0.0,0.01,0.71,0.0,0.0,0.0,0.0,NR
WWF Attitude,N64,1999.0,Fighting,Acclaim Entertainment,0.57,0.13,0.0,0.01,0.71,0.0,0.0,0.0,0.0,NR
Tactics Ogre: Let Us Cling Together,SNES,1995.0,Role-Playing,Quest,0.0,0.0,0.71,0.0,0.71,0.0,0.0,0.0,0.0,NR
Madden NFL 09,PSP,2008.0,Sports,Electronic Arts,0.65,0.0,0.0,0.06,0.71,68.0,8.0,6.5,4.0,E
"WarioWare, Inc.: Mega Party Game$",GC,2003.0,Puzzle,Nintendo,0.2,0.05,0.44,0.02,0.71,69.5,0.0,7.25,0.0,NR
NBA Live 09,X360,2008.0,Sports,Electronic Arts,0.5,0.14,0.0,0.07,0.71,77.0,32.0,7.4,14.0,E
Battle Arena Toshinden 2,PS,1995.0,Fighting,Sony Computer Entertainment,0.15,0.1,0.41,0.05,0.71,0.0,0.0,0.0,0.0,NR
Dragon Ball: Xenoverse 2,PS4,2016.0,Action,Namco Bandai Games,0.24,0.27,0.09,0.1,0.71,73.0,54.0,7.8,117.0,T
Dynasty Warriors 6,PS3,2007.0,Action,Tecmo Koei,0.18,0.07,0.41,0.04,0.71,59.0,31.0,7.3,49.0,T
Jeopardy!,PS,1997.0,Misc,Hasbro Interactive,0.39,0.27,0.0,0.05,0.71,0.0,0.0,0.0,0.0,NR
South Park,PS,1998.0,Shooter,Acclaim Entertainment,0.39,0.27,0.0,0.05,0.71,0.0,0.0,0.0,0.0,NR
NCAA Football 09,X360,2008.0,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.71,83.0,24.0,7.7,26.0,E
Doom 3: Resurrection of Evil,XB,2005.0,Shooter,Activision,0.53,0.15,0.0,0.03,0.71,77.0,41.0,7.9,16.0,M
SSX,X360,2012.0,Sports,Electronic Arts,0.38,0.26,0.0,0.06,0.7,82.0,65.0,6.4,186.0,E
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007.0,Role-Playing,Square Enix,0.18,0.01,0.5,0.02,0.7,65.0,43.0,5.9,21.0,T
Two Worlds,X360,2007.0,Role-Playing,SouthPeak Games,0.41,0.22,0.0,0.07,0.7,50.0,44.0,5.5,182.0,M
Tony Hawk's Underground,GC,2003.0,Sports,Activision,0.54,0.14,0.0,0.02,0.7,89.0,19.0,8.5,24.0,T
Spider-Man 2,PSP,2005.0,Action,Activision,0.35,0.21,0.0,0.14,0.7,67.0,43.0,6.9,8.0,T
Super Bomberman 3,SNES,1994.0,Puzzle,Hudson Soft,0.0,0.0,0.7,0.0,0.7,0.0,0.0,0.0,0.0,NR
NCAA Football 08,X360,2007.0,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.7,81.0,30.0,7.8,44.0,E
Command & Conquer: Red Alert Retaliation,PS,1998.0,Strategy,Virgin Interactive,0.39,0.27,0.0,0.05,0.7,0.0,0.0,0.0,0.0,NR
Skylanders: Trap Team,WiiU,2014.0,Action,Activision,0.38,0.26,0.0,0.06,0.7,86.0,4.0,7.1,18.0,E10+
Star Wars: Obi-Wan,XB,2001.0,Action,Activision,0.52,0.16,0.0,0.02,0.7,58.0,28.0,5.9,14.0,T
Ace Attorney Investigations: Miles Edgeworth,DS,2009.0,Adventure,Capcom,0.23,0.14,0.3,0.04,0.7,78.0,51.0,8.4,79.0,T
Kill.Switch,PS2,2003.0,Shooter,Sony Computer Entertainment,0.34,0.27,0.0,0.09,0.7,73.0,33.0,8.3,19.0,T
Catherine,PS3,2011.0,Adventure,Deep Silver,0.3,0.14,0.2,0.06,0.7,79.0,61.0,8.1,372.0,M
Madden NFL 2005,GC,2004.0,Sports,Electronic Arts,0.54,0.14,0.0,0.02,0.7,90.0,26.0,7.25,0.0,E
F-14 Tomcat,GBA,2001.0,Action,Majesco Entertainment,0.5,0.19,0.0,0.01,0.7,67.0,8.0,7.25,0.0,E
SplashDown,PS2,2001.0,Racing,Atari,0.34,0.27,0.0,0.09,0.7,84.0,22.0,8.2,11.0,E
NCAA Football 98,PS,1997.0,Sports,Electronic Arts,0.39,0.27,0.0,0.05,0.7,0.0,0.0,0.0,0.0,NR
Jade Empire,XB,2005.0,Role-Playing,Microsoft Game Studios,0.48,0.19,0.0,0.03,0.7,89.0,84.0,8.6,113.0,M
Infinite Undiscovery,X360,2008.0,Role-Playing,Square Enix,0.34,0.18,0.12,0.06,0.7,68.0,60.0,7.0,158.0,T
FIFA Soccer 11,DS,2010.0,Sports,Electronic Arts,0.13,0.49,0.0,0.08,0.7,63.0,5.0,7.25,0.0,E
Chocobo's Dungeon 2,PS,1998.0,Role-Playing,SquareSoft,0.04,0.03,0.58,0.05,0.7,0.0,0.0,0.0,0.0,NR
Call of Duty: Ghosts,PC,2013.0,Shooter,Activision,0.23,0.41,0.0,0.05,0.7,69.5,0.0,7.25,0.0,NR
Lego Star Wars: The Force Awakens,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.16,0.43,0.01,0.11,0.7,78.0,61.0,7.5,91.0,E10+
NHL 12,X360,2011.0,Sports,Electronic Arts,0.55,0.1,0.0,0.05,0.7,86.0,56.0,7.0,72.0,E10+
Advance Wars,GBA,2001.0,Strategy,Nintendo,0.5,0.19,0.0,0.01,0.7,92.0,28.0,9.0,95.0,E
NASCAR 2001,PS2,2000.0,Racing,Electronic Arts,0.34,0.27,0.0,0.09,0.7,66.0,16.0,6.6,9.0,E
NCAA Football 2001,PS,2000.0,Sports,Electronic Arts,0.39,0.26,0.0,0.05,0.7,69.5,0.0,7.25,0.0,NR
WWE SmackDown vs. Raw 2011,PSP,2010.0,Fighting,THQ,0.22,0.31,0.0,0.17,0.7,69.5,0.0,6.7,7.0,T
Mafia,PS2,2004.0,Action,Illusion Softworks,0.34,0.27,0.0,0.09,0.7,65.0,30.0,7.6,62.0,M
Hannah Montana: The Movie,DS,2009.0,Adventure,Disney Interactive Studios,0.38,0.25,0.0,0.07,0.7,69.5,0.0,7.25,0.0,E
Ape Escape: On the Loose,PSP,2005.0,Platform,Sony Computer Entertainment,0.52,0.0,0.12,0.05,0.7,66.0,35.0,6.4,16.0,E
Mobile Suit Gundam: Journey to Jaburo,PS2,2000.0,Simulation,Namco Bandai Games,0.16,0.13,0.36,0.04,0.7,58.0,16.0,8.1,49.0,T
MLB 08: The Show,PS3,2008.0,Sports,Sony Computer Entertainment,0.64,0.0,0.0,0.05,0.7,85.0,33.0,8.7,76.0,E
TimeSplitters 2,PS2,2002.0,Shooter,Eidos Interactive,0.34,0.27,0.0,0.09,0.7,90.0,33.0,8.8,127.0,T
Omerta: City of Gangsters,X360,2011.0,Simulation,Konami Digital Entertainment,0.42,0.22,0.0,0.06,0.7,43.0,18.0,3.3,25.0,T
Driver: San Francisco,X360,2011.0,Racing,Ubisoft,0.25,0.37,0.0,0.07,0.7,80.0,63.0,7.6,130.0,T
Classic NES Series: Zelda II: The Adventure of Link,GBA,2004.0,Adventure,Nintendo,0.37,0.14,0.17,0.01,0.7,73.0,8.0,7.5,39.0,E
Fire Emblem: Monsh? no Nazo,SNES,1994.0,Role-Playing,Nintendo,0.0,0.0,0.7,0.0,0.7,0.0,0.0,0.0,0.0,NR
Disney's Chicken Little,GBA,2005.0,Platform,Disney Interactive Studios,0.5,0.18,0.0,0.01,0.7,71.0,6.0,7.25,0.0,E
James Bond 007: Blood Stone,PS3,2010.0,Shooter,Activision,0.18,0.36,0.02,0.13,0.7,65.0,49.0,7.4,45.0,T
King Kong,2600,1981.0,Action,Tigervision,0.65,0.04,0.0,0.01,0.69,0.0,0.0,0.0,0.0,NR
Minecraft: Story Mode,PS4,2015.0,Adventure,Mojang,0.25,0.33,0.0,0.11,0.69,69.5,0.0,7.25,0.0,NR
Moto Racer 2,PS,1997.0,Racing,Electronic Arts,0.39,0.26,0.0,0.05,0.69,0.0,0.0,0.0,0.0,NR
Metal Gear Solid: Portable Ops Plus,PSP,2007.0,Action,Konami Digital Entertainment,0.26,0.0,0.26,0.17,0.69,65.0,19.0,7.5,27.0,T
LEGO Rock Band,Wii,2009.0,Misc,Warner Bros. Interactive Entertainment,0.41,0.22,0.0,0.06,0.69,70.0,15.0,6.8,6.0,E10+
Monster Hunter Tri,WiiU,2012.0,Role-Playing,Nintendo,0.24,0.19,0.22,0.04,0.69,69.5,0.0,7.25,0.0,NR
Halo 2 Multiplayer Map Pack,XB,2005.0,Shooter,Microsoft Game Studios,0.54,0.13,0.0,0.02,0.69,89.0,37.0,7.4,34.0,M
Mortal Kombat: Shaolin Monks,PS2,2005.0,Action,Midway Games,0.58,0.02,0.0,0.09,0.69,77.0,41.0,8.6,74.0,M
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS3,2009.0,Shooter,Activision,0.28,0.3,0.0,0.12,0.69,69.5,0.0,7.25,0.0,NR
Minecraft: Story Mode,PS3,2015.0,Adventure,Mojang,0.27,0.31,0.0,0.11,0.69,69.5,0.0,7.25,0.0,NR
FIFA Soccer 13,Wii,2012.0,Action,Electronic Arts,0.18,0.44,0.0,0.07,0.69,69.5,0.0,1.6,21.0,E
The LEGO Movie Videogame,3DS,2014.0,Action,Warner Bros. Interactive Entertainment,0.28,0.31,0.05,0.05,0.69,69.5,0.0,5.4,13.0,E10+
MotionSports,X360,2010.0,Sports,Ubisoft,0.38,0.25,0.0,0.06,0.69,40.0,30.0,4.4,9.0,T
MX vs. ATV Unleashed: On the Edge,PSP,2006.0,Racing,THQ,0.64,0.0,0.0,0.05,0.69,68.0,22.0,8.1,7.0,E
Mario Pinball Land,GBA,2004.0,Misc,Nintendo,0.5,0.18,0.0,0.01,0.69,62.0,35.0,4.9,11.0,E
Mappy,NES,1984.0,Platform,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69,0.0,0.0,0.0,0.0,NR
J-League Soccer: Prime Goal,SNES,1993.0,Sports,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69,0.0,0.0,0.0,0.0,NR
Dragon Ball Z: Budokai,GC,2003.0,Fighting,Atari,0.53,0.14,0.0,0.02,0.69,65.0,16.0,6.3,15.0,T
NFL Xtreme,PS,1998.0,Sports,Sony Computer Entertainment,0.38,0.26,0.0,0.05,0.69,0.0,0.0,0.0,0.0,NR
Need for Speed (2015),XOne,2015.0,Racing,Electronic Arts,0.3,0.33,0.0,0.06,0.69,69.5,0.0,7.25,0.0,NR
Plants vs. Zombies: Garden Warfare,XOne,2014.0,Shooter,Electronic Arts,0.39,0.23,0.0,0.06,0.69,76.0,65.0,7.4,438.0,E10+
Need for Speed Rivals,XOne,2013.0,Racing,Electronic Arts,0.46,0.17,0.0,0.07,0.69,75.0,18.0,5.8,175.0,E10+
The Sims 2: Apartment Pets,DS,2008.0,Simulation,Electronic Arts,0.31,0.3,0.0,0.07,0.69,50.0,12.0,3.3,4.0,E
Harry Potter and the Chamber of Secrets,GC,2002.0,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,77.0,14.0,8.3,27.0,E
Prince of Persia: The Forgotten Sands,PS3,2010.0,Action,Ubisoft,0.19,0.36,0.01,0.12,0.69,75.0,49.0,7.6,120.0,T
X-Men Origins: Wolverine - Uncaged Edition,X360,2009.0,Action,Activision,0.42,0.21,0.0,0.06,0.69,69.5,0.0,7.25,0.0,NR
The Lord of the Rings: The Return of the King,GC,2003.0,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,84.0,23.0,8.5,21.0,T
The Sims: Medieval,PC,2011.0,Simulation,Electronic Arts,0.28,0.32,0.0,0.09,0.69,77.0,56.0,6.1,173.0,T
LEGO Batman 2: DC Super Heroes,DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.39,0.24,0.0,0.06,0.69,69.5,0.0,8.0,4.0,E10+
Top Spin 4,PS3,2011.0,Sports,Take-Two Interactive,0.17,0.39,0.0,0.13,0.69,82.0,37.0,7.7,55.0,E
Shrek the Third,X360,2007.0,Action,Activision,0.54,0.09,0.0,0.06,0.68,69.5,0.0,7.25,0.0,NR
Baldur's Gate: Dark Alliance II,PS2,2004.0,Role-Playing,Interplay,0.34,0.26,0.0,0.09,0.68,78.0,44.0,8.7,54.0,T
Shark Tale,GBA,2004.0,Action,Activision,0.49,0.18,0.0,0.01,0.68,63.0,8.0,9.0,4.0,E
IL-2 Sturmovik: Birds of Prey,PS3,2009.0,Simulation,505 Games,0.34,0.25,0.0,0.1,0.68,81.0,28.0,7.3,20.0,T
Star Wars: Masters of Teras Kasi,PS,1997.0,Action,LucasArts,0.38,0.26,0.0,0.04,0.68,0.0,0.0,0.0,0.0,NR
